t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,815.363534,849.9999999999999,841.148399,849.9999999999211,850.361034,850.0000000000013,839.611831,849.999999998872,34.63646599999993,8.851600999921061,0.3610339999987673,10.388168998871947,0.04247978301173318,0.010523233487033077,0.00042456554988238947,0.012372585301113922
5,777.470351,777.4960293334855,831.510496,831.5606303194156,850.440357,849.9365354204838,832.436687,834.2058790943845,0.02567833348541626,0.0501343194156334,0.5038215795161705,1.7691920943844934,3.302805496362428E-05,6.0293068646524216E-05,0.0005924243544761252,0.002125317302821486
10,486.297762,486.36515312467145,792.259997,792.2205665148172,850.620622,849.5007392734993,818.556354,819.283635918608,0.06739112467147379,0.03943048518283376,1.1198827265006912,0.7272819186079005,0.00013857996054580606,4.976962781428148E-05,0.0013165478211280553,0.000888493400672937
12,374.734438,373.4140257908891,772.845693,772.9118359473911,850.570726,849.2383557753303,807.583186,808.8262480813546,1.3204122091108843,0.06614294739108573,1.3323702246697167,1.2430620813546511,0.003523594511777656,8.558363977462928E-05,0.0015664426060552155,0.0015392371992185721
14,311.052261,311.8264273074217,753.883643,753.9472972245198,850.469098,848.8480744528462,774.524878,774.5616895281614,0.7741663074216945,0.06365422451983704,1.621023547153868,0.036811528161479146,0.0024888624983236966,8.443507842474444E-05,0.0019060346236752603,4.7527883489727165E-05
15,288.658546,289.5284430394662,744.140236,744.1868068363372,850.375749,848.6151295239978,757.331314,758.1895608721893,0.8698970394661956,0.04657083633719594,1.7606194760022618,0.8582468721892837,0.003013584913803992,6.258341383007267E-05,0.0020704017936455307,0.0011332515324848746
16,270.124675,271.07477789294484,736.990317,737.0051383843455,850.228142,848.3377116400011,743.756789,743.4210173350574,0.9501028929448125,0.014821384345509614,1.890430359998959,0.33577166494262656,0.0035172754689841365,2.0110690742643248E-05,0.0022234389414023405,0.0004514535798645685
17,253.542775,254.23920245240086,729.920878,729.9387442335197,850.023984,848.0081843036908,731.714825,730.0089591372587,0.6964274524008545,0.017866233519725938,2.015799696309273,1.7058658627413479,0.002746784846860079,2.447694545836232E-05,0.0023714621401897673,0.0023313260910647095
18,239.547017,240.3939222244503,723.894478,723.9139266053044,849.745352,847.617978059018,720.709633,720.7211737500795,0.8469052244502961,0.019448605304319244,2.127373940982011,0.011540750079461759,0.003535444669930063,2.6866630282983374E-05,0.0025035428978516035,1.6013037083218448E-05
19,227.714584,228.66180135130418,717.647595,717.6716933211285,849.416398,847.1577065200263,709.866885,708.9486827416532,0.9472173513041753,0.024098321128462885,2.2586914799736633,0.9182022583468097,0.00415966924324959,3.357960271358937E-05,0.0026591098138579418,0.0012934851276332035
20,217.213575,218.29738182031846,714.047214,715.6428208002176,848.941287,846.6174456671056,700.653664,700.6643790017112,1.0838068203184719,1.5956068002175243,2.3238413328944034,0.010715001711105288,0.004989590638239216,0.002234595652686804,0.0027373404597936623,1.529286473709968E-05
21,207.651159,208.39417659026756,708.577639,708.6330141935474,848.4051,845.9871775625403,691.951211,690.0491423596097,0.7430175902675558,0.05537519354743381,2.4179224374596515,1.9020686403902118,0.003578201026402919,7.81497898036743E-05,0.00284996216720014,0.0027488479103047803
22,199.501458,200.57004221935532,702.571705,702.6218702703418,847.771555,845.2572963785184,682.984179,683.0107760450956,1.0685842193553015,0.05016527034183582,2.5142586214816447,0.02659704509551375,0.005356272731376737,7.140234937562113E-05,0.0029657265647249093,3.8942402933046196E-05
23,191.234504,192.0971532565061,697.51483,697.534678370841,847.026222,844.4191551774875,673.825564,672.5502901796284,0.8626492565061028,0.019848370841032192,2.607066822512479,1.2752738203715808,0.004510949846718576,2.845584063213709E-05,0.00307790568319912,0.0018925874714536368
24,183.093622,184.04067232856914,692.735563,692.7536186753061,846.142058,843.4655940544452,665.491723,665.5041635087135,0.9470503285691336,0.01805567530618646,2.676463945554815,0.012440508713552845,0.005172492183092721,2.6064311218545682E-05,0.003163137820948282,1.869370915309317E-05
25,175.17179,175.9638372503718,686.37332,686.4026338261997,845.192405,842.3912915414775,655.377275,654.4506610713647,0.7920472503718088,0.029313826199654613,2.8011134585225363,0.9266139286353337,0.00452154568022516,4.270828329931969E-05,0.0033141725386452523,0.001413863379128203
26,169.287308,170.79495219941953,682.105762,683.5902445397539,844.148151,841.1928422010425,643.445994,643.4427137705169,1.5076441994195307,1.4844825397539125,2.9553087989575033,0.0032802294831526524,0.00890583125947948,0.0021763231194547694,0.003500936175073732,5.097909558440195E-06
27,164.380298,165.8765866168681,657.994043,659.1589117703423,842.936838,839.8686454449241,629.388324,628.9049479325561,1.4962886168680996,1.1648687703423093,3.068192555075825,0.4833760674439418,0.009102603140846596,0.0017703333073219164,0.0036398842911594584,0.000768009270289453
28,158.789467,159.59532667557633,569.232819,569.3340057636042,841.639375,838.4187939784682,610.266786,610.441046295924,0.805859675576329,0.10118676360423251,3.220581021531757,0.17426029592400027,0.005075019715106979,0.0001777598905523269,0.003826556975820858,0.0002855477307985106
29,153.39014,154.33424572551246,491.330346,491.4791533494079,840.190014,836.8454082970992,586.390833,587.8912652398068,0.9441057255124576,0.14880734940788898,3.3446057029008216,1.5004322398067416,0.00615493098521494,0.00030286618894874646,0.003980772976552922,0.00255875800808561
30,149.355272,150.87297136376367,415.014944,415.5351658190532,838.656548,835.1538056112757,554.749596,554.805070081533,1.5176993637636542,0.5202218190531767,3.5027423887243003,0.05547408153302058,0.010161672523777093,0.0012535014138025271,0.004176611268435836,9.999841718320167E-05
31,145.740884,146.95059308038,366.295723,366.6070200067496,837.002398,833.3528564681363,522.784442,523.8167640720942,1.2097090803800086,0.31129700674961214,3.6495415318636333,1.032322072094189,0.008300409927388725,0.0008498516013238083,0.0043602521815757495,0.0019746610441291382
32,142.137932,143.43603803241362,333.66377,333.8977842027174,835.221293,831.4523568700521,491.028614,491.8671415070647,1.2981060324136138,0.2340142027173897,3.7689361299478605,0.8385275070646685,0.009132720690023926,0.0007013473555051833,0.004512500054219596,0.0017076958107061933
33,138.333281,139.4000490008966,309.785285,310.0071138132522,833.311101,829.4573937332545,459.023664,458.8048597323273,1.0667680008965874,0.22182881325221615,3.8537072667454595,0.2188042676726809,0.007711578827488285,0.0007160727897460209,0.004624572098128643,0.00047667317577047814
34,136.085919,137.49016673559194,291.474988,291.68725841825693,831.281841,827.3622864726159,423.312607,422.37339736391965,1.4042477355919516,0.21227041825693505,3.9195545273840935,0.9392096360803635,0.010318831999010505,0.0007282628938882915,0.004715072956085533,0.002218714067451252
35,133.147357,134.0973544804151,277.076731,277.28199426807515,829.059105,825.1472227763908,390.597114,390.67104561377784,0.9499974804151066,0.20526326807515716,3.9118822236092683,0.07393161377785873,0.007134933068292948,0.000740817416656894,0.004718459998831167,0.0001892784435111283
36,130.341084,131.468920065318,264.989501,265.1782912599866,826.63131,822.7790589339512,362.64054,362.75474182239856,1.1278360653180073,0.18879025998660381,3.8522510660487796,0.11420182239857013,0.008652959072505545,0.0007124443016578374,0.0046601804449540865,0.00031491741766811326
37,127.210848,128.0467231548511,255.225323,255.39664471520763,823.956994,820.2155943268207,335.512118,335.6560598874763,0.8358751548510952,0.1713217152076254,3.7413996731793304,0.14394188747633052,0.006570785180608931,0.0006712567279525997,0.004540770574707119,0.00042902142651172597
38,124.375866,125.3320373316842,246.920283,247.08336041139046,820.98753,817.4114580336358,310.895759,311.13287909334144,0.9561713316842031,0.16307741139044651,3.576071966364225,0.23712009334144568,0.0076877561735666875,0.0006604455875763212,0.004355817641181742,0.0007626996717618322
39,120.964037,121.54256898889811,239.491351,239.64668852420317,817.673796,814.3237839525058,290.656701,291.060077128639,0.5785319888981064,0.15533752420316205,3.3500120474942605,0.4033761286390245,0.004782677589522797,0.0006486143384909213,0.004097003063914085,0.0013878094922677338
40,118.024702,118.75215615749337,233.041302,233.19024213488353,814.058077,810.9165404020717,273.55656,274.06700296953363,0.7274541574933693,0.14894013488353153,3.1415365979282797,0.5104429695336421,0.006163575464849462,0.0006391147560767212,0.0038591062317145704,0.001865950388956646
42,114.233969,114.37821519948261,221.967066,222.30424463352614,805.87441,802.6804378140589,245.052031,246.55945343315216,0.14424619948260897,0.3371786335261504,3.1939721859411065,1.5074224331521577,0.0012627259714893472,0.0015190480263686974,0.003963362214145882,0.0061514382353850304
44,110.254248,110.39822574386558,212.940705,213.265467984841,796.137361,793.0179681939869,224.180496,225.92028989755073,0.1439777438655767,0.3247629848409872,3.1193928060131384,1.7397938975507259,0.00130587026329885,0.001525133416088705,0.003918159049959644,0.007760683594663497
46,106.01608,106.11219271822998,205.55265,205.86013345765315,784.981553,782.0312141114472,207.340337,209.11873095743658,0.0961127182299748,0.30748345765314866,2.9503388885527784,1.7783939574365775,0.0009065862294660847,0.0014958866142234053,0.0037584818105308756,0.008577173082517838
48,101.832028,103.35007435454351,199.181558,199.49387684433157,772.500449,769.8865001760654,193.724301,193.768107097698,1.5180463545435146,0.3123188443315712,2.6139488239346065,0.04380609769799548,0.014907356598490944,0.0015680108513438339,0.003383750556156125,0.0002261259814688684
50,99.164836,100.32106906279657,193.405822,193.70795349287414,758.850947,756.7801497253251,182.481897,182.56760738275995,1.1562330627965736,0.302131492874139,2.0707972746748737,0.0857103827599417,0.011659708314311876,0.0015621633813802098,0.002728859050464984,0.0004696925238558962
60,90.741402,90.90541078653862,172.54313,174.1561870163914,682.384739,682.931765939127,149.287059,150.02854392943476,0.1640087865386306,1.6130570163914228,0.5470269391270222,0.7414849294347619,0.001807430598643722,0.009348717717079914,0.0008016400541557571,0.004966839955195057
70,79.387767,80.0021398747048,158.732153,160.35991843626982,604.33615,611.4683757187822,132.660612,132.8696040509829,0.6143728747047987,1.6277654362698115,7.1322257187822515,0.20899205098291418,0.007738885950839236,0.010254793408300909,0.011801752582204873,0.0015753888651057497
80,71.501666,71.82614014494513,148.18459,149.8954122680592,533.624124,546.4397950324061,118.598606,118.64277577638481,0.3244741449451283,1.7108222680592178,12.815671032406044,0.04416977638480546,0.004537994190864423,0.01154521038968504,0.024016288724619285,0.00037243082254107994
90,65.970403,64.57347032365197,138.695862,140.1667132924011,471.366008,488.75983412460084,109.190163,109.8203315552156,1.3969326763480296,1.4708512924011075,17.39382612460082,0.6301685552156044,0.021175142379348956,0.010604867882800335,0.03690089193831054,0.005771294207295986
100,61.927408,61.164971720789445,130.006925,131.34581504769048,418.058081,438.0768609132621,101.435788,101.49751024894832,0.7624362792105543,1.3388900476904837,20.018779913262108,0.06172224894831402,0.012311774444209814,0.010298605614204656,0.047885164342181694,0.0006084859216385643
